titles,details
Volkswagen Touran 2.0 TDI Comfortline BMT/Start-Stop Van,EZ 05/2017 • 164.000 km • 110 kW (150 PS) • Diesel
"Mercedes-Benz A 180 BlueEfficiency;Shz;Navi,PDC",Unfallfrei • EZ 06/2013 • 150.000 km • 90 kW (122 PS) • Benzin
Audi A4 Lim. Attraction,EZ 11/2013 • 150.580 km • 88 kW (120 PS) • Benzin
BMW 116d /KLIMA/TEMPOMAT/EURO5,EZ 01/2015 • 150.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Plus VI 1.2 TSI Life,Unfallfrei • EZ 12/2013 • 151.200 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim.ComfortlineBMT*R-KAM XENON*STNDHEIZ,Unfallfrei • EZ 08/2013 • 162.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Sportsvan 1.6 Standheiz Kamera Navi Shz,Unfallfrei • EZ 01/2015 • 163.660 km • 81 kW (110 PS) • Diesel
Volkswagen Golf STYLE/ DYNAUDIO / CARPLAY / ACC / PARKSYSTE,Unfallfrei • EZ 03/2018 • 183.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Variant *Klimaautomatik*Sitzheizung,Unfallfrei • EZ 06/2014 • 163.000 km • 81 kW (110 PS) • Benzin
Mercedes-Benz Vito Kasten 110 CDI kompakt Standheizung,EZ 12/2013 • 150.000 km • 70 kW (95 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT TÜV neu,EZ 01/2013 • 153.000 km • 63 kW (86 PS) • Benzin
BMW 218 Baureihe 2 Active Tourer 218 i,EZ 08/2016 • 163.000 km • 100 kW (136 PS) • Benzin
Volkswagen Polo V Trendline,Unfallfrei • EZ 08/2015 • 155.852 km • 55 kW (75 PS) • Diesel
Volkswagen Golf VII Variant Trendline BMT,Unfallfrei • EZ 01/2015 • 162.000 km • 81 kW (110 PS) • Diesel
BMW 116i Advantage,Unfallfrei • EZ 04/2017 • 168.429 km • 80 kW (109 PS) • Benzin
Mercedes-Benz A 180 Style *Navi*Xenon*AHK*,EZ 05/2013 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Polo VI Highline Navi PDC FrontAssist LED PureWh,Unfallfrei • EZ 12/2017 • 172.000 km • 70 kW (95 PS) • Benzin
Volkswagen Caddy Kasten/--MOD-2015-LKW ZULL-TÜV NEU,Unfallfrei • EZ 11/2014 • 170.123 km • 55 kW (75 PS) • Diesel
Volkswagen Golf VII Variant DSG Comfortline BMT NAVI,EZ 04/2015 • 165.500 km • 81 kW (110 PS) • Diesel
Volkswagen Polo V CrossPolo BMT/Start-Stopp,Unfallfrei • EZ 12/2015 • 159.000 km • 66 kW (90 PS) • Benzin
Volkswagen Passat Variant Comfortline BlueMotion/Navi,EZ 05/2014 • 150.000 km • 77 kW (105 PS) • Diesel
Volkswagen Passat Variant Trendline,Unfallfrei • EZ 08/2014 • 156.587 km • 90 kW (122 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116i*TÜV-NEU*,Unfallfrei • EZ 12/2014 • 155.000 km • 100 kW (136 PS) • Benzin
Audi A1 Sportback ambition*S-Line*Tüv Neu*,EZ 12/2014 • 153.461 km • 63 kW (86 PS) • Benzin
BMW 316d/Klimaautomatik/NAVI/PDC,Unfallfrei • EZ 04/2013 • 152.872 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Sportsvan VII Lounge|Klima|Navi|MFL|PDC|,EZ 07/2014 • 161.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VI Variant Style DSG AHK Steuerkette neu,Unfallfrei • EZ 04/2012 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VI Style PDC FernlichtAs KlimaAt Komfortstz,EZ 03/2012 • 152.630 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Maxi/Klima/Kombi Maxi Kasten EcoProfi,EZ 08/2014 • 150.000 km • 75 kW (102 PS) • Diesel
BMW 116i M Paket *BiXenon*Navi*Einparkhilfe*,EZ 07/2014 • 157.000 km • 100 kW (136 PS) • Benzin
Volkswagen Golf Sportsvan 1.6 TDI SCR Trendline / 1 Hand,EZ 06/2019 • 174.660 km • 85 kW (116 PS) • Diesel
Audi A1 Sportback admired,EZ 08/2014 • 151.031 km • 63 kW (86 PS) • Benzin
Volkswagen Polo V BlueGT BMT 150 Ps*Navi*Xenon *Tüv 08/2026,Unfallfrei • EZ 10/2014 • 160.000 km • 110 kW (150 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT,EZ 11/2014 • 169.046 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Lim. TDI Trendline Sitzheizung Navi,Unfallfrei • EZ 08/2014 • 170.891 km • 77 kW (105 PS) • Diesel
Audi A3 Sportback Ambiente*NAVI*KLIMA*PDC*TEMPOMAT*,EZ 10/2014 • 160.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Cup 4Motion 5-tür. #PDC#SHZG#NAVI#75,EZ 06/2014 • 158.700 km • 77 kW (105 PS) • Diesel
Volkswagen Up! Move up! BMT,Unfallfrei • EZ 10/2019 • 160.000 km • 44 kW (60 PS) • Benzin
Volkswagen Golf Variant Trendline BMT DSG Pano ACC AHK,EZ 10/2014 • 167.000 km • 77 kW (105 PS) • Diesel
"Audi A3 Sportback 1,4 TFSi Navi, Sitzheizung, Xenon,",Unfallfrei • EZ 01/2014 • 153.000 km • 90 kW (122 PS) • Benzin
Mercedes-Benz A 200 BlueEfficiency NAVI|KLIMA|LEDER|SHZ|PDC,Unfallfrei • EZ 03/2013 • 150.000 km • 115 kW (156 PS) • Benzin
Mercedes-Benz B 180 B -Klasse B 180 CDI Navi Sitzheizung PDC,Unfallfrei • EZ 02/2014 • 150.000 km • 80 kW (109 PS) • Diesel
"Volkswagen Golf VII 1,2 Allstar KLIMAAUTOMATIK SITZHEIZUNG",EZ 11/2016 • 177.442 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT**TÜV -NEU**,EZ 11/2012 • 154.530 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 07/2013 • 159.789 km • 77 kW (105 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116d,Unfallfrei • EZ 11/2015 • 154.000 km • 85 kW (116 PS) • Diesel
Volkswagen Sharan Comfortline BMT*Navi*PDC*7Sitze*TÜV12/25,EZ 05/2014 • 158.000 km • 110 kW (150 PS) • Benzin
Volkswagen Golf VI Match TÜV NEU Automatik Navi PDC SHZ,Unfallfrei • EZ 09/2012 • 155.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Lounge BMT*Automatik*Navi*Sitzheiz,EZ 06/2015 • 169.000 km • 81 kW (110 PS) • Diesel
Audi A3 ambition 1.4 TSFI,Unfallfrei • EZ 12/2015 • 164.397 km • 92 kW (125 PS) • Benzin
Volkswagen Golf 7 1.2 TSI BMT TRENDLINE 5-trg. *HU-NEU*,EZ 12/2013 • 159.700 km • 63 kW (86 PS) • Benzin
"Volkswagen Golf VII Variant TDI,Erst160tkm,Aus 2.Hand,Klima",EZ 12/2014 • 160.900 km • 81 kW (110 PS) • Diesel
"Volkswagen Polo V 1.2 TSI DSG Highline 90PS,Panodach, AHK,",EZ 07/2014 • 162.850 km • 66 kW (90 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,EZ 06/2015 • 168.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 06/2013 • 164.681 km • 77 kW (105 PS) • Benzin
Volkswagen Polo V Trendline,Unfallfrei • EZ 03/2015 • 154.000 km • 44 kW (60 PS) • Benzin
Volkswagen Polo V Lounge Klimauto Pano SHZ 1.HD,EZ 07/2015 • 155.425 km • 44 kW (60 PS) • Benzin
Volkswagen up! 1.0 44kW,EZ 07/2017 • 154.000 km • 44 kW (60 PS) • Benzin
Volkswagen up! move up! 1.0 Automatik NAVIV. KLIMA RADIO eF,Unfallfrei • EZ 05/2019 • 166.800 km • 55 kW (75 PS) • Benzin
Audi A3 attraction *XENON+NAVI+PDC*,Unfallfrei • EZ 03/2014 • 152.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Trendline BMT Mehrzonenklima SHZ Parkle,Unfallfrei • EZ 03/2013 • 158.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII VARIANT 1.6 TDI EURO6 *LOUNGE* & EXTRAS,EZ 03/2015 • 178.500 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Cup /2 Zonen Klima,EZ 07/2014 • 164.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Sportsvan Allstar BMT/Start-Stopp//,Unfallfrei • EZ 09/2016 • 175.000 km • 81 kW (110 PS) • Diesel
Mercedes-Benz Citan Kasten 111CDI extralang Klima Kupplung Neu,EZ 08/2016 • 170.000 km • 81 kW (110 PS) • Diesel
Citroën Berlingo 1.6 HDI Multispace 1.Hand/HU & Insp.NEU,Unfallfrei • EZ 08/2015 • 164.000 km • 88 kW (120 PS) • Diesel
Volkswagen Caddy Nfz Maxi Kasten BMT/KLIMA/EURO 6,EZ 07/2018 • 164.335 km • 75 kW (102 PS) • Diesel
BMW X1 Baureihe X1 sDrive 18i/1 HAND/ZV/KLIMA/SITZHZ,Unfallfrei • EZ 08/2014 • 156.000 km • 110 kW (150 PS) • Benzin
Volkswagen Caddy Maxi Kasten 2.0TDI *Klima*Navi*Pdc*Euro 6*,EZ 01/2017 • 162.111 km • 75 kW (102 PS) • Diesel
"Volkswagen Beetle Lim. Design, Leder, Park Pilot, 1.Hd.",Unfallfrei • EZ 06/2014 • 155.423 km • 77 kW (105 PS) • Diesel
Volkswagen Caddy Kasten/Kombi Team,EZ 03/2015 • 160.000 km • 55 kW (75 PS) • Diesel
Renault Megane IV Grandtour BOSE-Edition*Tüv&Inspektion*,EZ 11/2016 • 150.000 km • 97 kW (132 PS) • Benzin
BMW 216 Gran Tourer 216d -,Reparierter Unfallschaden • EZ 06/2015 • 160.000 km • 85 kW (116 PS) • Diesel
Volkswagen Polo V CrossPolo 1.2 TSI Navi SPORTSITZE 1.HAND,EZ 07/2015 • 164.178 km • 81 kW (110 PS) • Benzin
Volkswagen Passat Variant 2.0 TDI Comfortline Variant C...,Unfallfrei • EZ 07/2015 • 160.000 km • 110 kW (150 PS) • Diesel
"Volkswagen Golf VI Variant Match 1,4 TSI DSG TÜV 06/26",EZ 03/2013 • 150.884 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Temp*SHZ*AnhängeSchwenkbar,Unfallfrei • EZ 10/2013 • 163.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Lim. Lounge + 1HAND +Service +TÜV +,Unfallfrei • EZ 10/2015 • 176.500 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Variant Lounge BMT,Unfallfrei • EZ 03/2016 • 169.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VI Variant Match*Aluräder*Navi*Leder*Touch,EZ 05/2013 • 155.207 km • 90 kW (122 PS) • Benzin
BMW 118i Lim.5-trg.Advantage STEUERKETTE NEU 1 HAND,Unfallfrei • EZ 08/2017 • 171.700 km • 100 kW (136 PS) • Benzin
Volkswagen Polo 1.2 TSI R-Line KLIMA - SHZ - SPORTPAKET,Unfallfrei • EZ 03/2016 • 176.093 km • 81 kW (110 PS) • Benzin
Citroën Berlingo Kombi Multispace**Klimaanlage*PDC*,EZ 03/2012 • 154.542 km • 88 kW (120 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT,Unfallfrei • EZ 02/2014 • 161.000 km • 110 kW (150 PS) • Diesel
Volkswagen Golf VI Match,Unfallfrei • EZ 04/2012 • 175.812 km • 77 kW (105 PS) • Benzin
Audi A3 ambiente Automatik,EZ 08/2013 • 150.986 km • 90 kW (122 PS) • Benzin
Mercedes-Benz A 180 BlueEfficiency TÜV NEU Garantie,Unfallfrei • EZ 12/2012 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Sportsvan Lounge Start-Stopp Automatik Navi,EZ 05/2015 • 173.958 km • 81 kW (110 PS) • Benzin
Audi A3 Sportback 1.4 TFSI Ambition#Automatik#S Line#,EZ 04/2013 • 156.999 km • 92 kW (125 PS) • Benzin
Mercedes-Benz A 200 #TÜV#KLIMA#PANO#SCHIEBEDACH#SPORTSITZE#TOP,EZ 09/2012 • 150.000 km • 115 kW (156 PS) • Benzin
Volkswagen Golf Variant Comfortline BMT NAVI AHK MASSAGE SI,EZ 02/2014 • 167.290 km • 90 kW (122 PS) • Benzin
Volkswagen Passat Variant Comfortline 1.6 TDI Leder 2HD,Unfallfrei • EZ 09/2013 • 151.414 km • 77 kW (105 PS) • Diesel
Volkswagen Touran Cup,Unfallfrei • EZ 02/2015 • 161.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT*AUTOMATIK*NAVI**,EZ 11/2013 • 164.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf 1.6 TDI DSG BMT Trendline Variant Trendline,Unfallfrei • EZ 03/2015 • 168.000 km • 81 kW (110 PS) • Diesel
"Volkswagen Golf VII Lim. Trendline,Scheckheft,1-Hand",Unfallfrei • EZ 11/2012 • 153.000 km • 63 kW (86 PS) • Benzin
Volkswagen Polo V Comfortline Aut. BT USB ALU Temp. TÜV NEU,Unfallfrei • EZ 01/2015 • 161.493 km • 66 kW (90 PS) • Benzin
Volkswagen Polo V Life,EZ 03/2014 • 156.000 km • 55 kW (75 PS) • Diesel
Mercedes-Benz Citan Kombi 109 CDI lang Tourer Edition Panorama,EZ 01/2016 • 165.000 km • 66 kW (90 PS) • Diesel
Volkswagen Golf Variant Lounge Tüv 05-2025,Unfallfrei • EZ 09/2015 • 174.600 km • 81 kW (110 PS) • Diesel
Volkswagen Touran Comfortline,Unfallfrei • EZ 12/2012 • 150.000 km • 103 kW (140 PS) • Benzin
Opel Zafira C Tourer *7-Sitzer*Automatik*Panorama*,EZ 04/2012 • 158.725 km • 103 kW (140 PS) • Benzin
Mercedes-Benz B 180 CDI *Bi-Xenon*Navi*LED*AHK*Leder*PDC*,EZ 05/2014 • 156.000 km • 80 kW (109 PS) • Diesel
Volkswagen Golf 1.4 TSI VII Lim. Comfortline*Navi-SHZ-AHK*,EZ 09/2013 • 170.000 km • 103 kW (140 PS) • Benzin
Volkswagen Caddy Kasten Profi BMT *1.HD/Klima/Euro-6/LKW*,Unfallfrei • EZ 05/2017 • 166.000 km • 75 kW (102 PS) • Diesel
Volkswagen Polo 1.4 GT ACT BlueGT ALU+KLIMA+TELE+TEMPO+HU,Unfallfrei • EZ 06/2013 • 151.355 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Variant Comfortline/Panoramadach - AHK,Unfallfrei • EZ 05/2014 • 167.000 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Trendline*PDC*Tempomat*Licht&Regen*Bluetoo,EZ 09/2019 • 169.372 km • 75 kW (102 PS) • Benzin
Mercedes-Benz Citan 108 CDI lang Klima Winterräder Radio HU AU,Unfallfrei • EZ 09/2015 • 154.000 km • 55 kW (75 PS) • Diesel
Volkswagen up! 1.0 move up!*Tüv Neu*Klima*Winterreifen*Top*,Unfallfrei • EZ 10/2015 • 150.000 km • 44 kW (60 PS) • Benzin
"Mercedes-Benz Citan Kasten 109 CDI extralang,KLIMA,8 FACH BER.",EZ 11/2018 • 161.900 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Lim mit Alufelgen und 1 Jahr Garantie,Unfallfrei • EZ 06/2013 • 158.317 km • 63 kW (86 PS) • Benzin
Volkswagen Golf Trendline BMT #DSG#Navi#PDC#SHZ,Unfallfrei • EZ 10/2016 • 176.500 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Comfortline /Start-Stopp/Navi/AHK/Euro6,EZ 04/2017 • 177.200 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VI Variant Match,EZ 10/2012 • 155.279 km • 77 kW (105 PS) • Benzin
Volkswagen Passat Variant BlueMotion NAVI*SHZ*AHK*TEMPO*PDC,Unfallfrei • EZ 11/2014 • 157.500 km • 103 kW (140 PS) • Diesel
Volkswagen Golf VI Cabriolet Cup BMT TÜV NEU,Unfallfrei • EZ 05/2014 • 163.000 km • 103 kW (140 PS) • Diesel
Volkswagen Passat Variant 1.4 TSI Trendline PANO R.CAM NAVI,EZ 04/2013 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf 1.6 TDI R-LINE+LEDER+NAVI+PDC,EZ 12/2015 • 173.800 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Highline BMT 1.4 TSI Sitzheizung,EZ 05/2014 • 168.000 km • 103 kW (140 PS) • Benzin
Mercedes-Benz B 180 B -Klasse B 180,EZ 02/2015 • 165.100 km • 90 kW (122 PS) • Benzin
"BMW 216 Active Tourer,Autom.,Klima,Navi,Panor.",Unfallfrei • EZ 08/2016 • 167.000 km • 75 kW (102 PS) • Benzin
Volkswagen Golf VI Variant Trendline AUTOM -,Unfallfrei • EZ 01/2014 • 157.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Var. 1.6 TDI Trendline PDC Navi SHZ,EZ 09/2016 • 171.188 km • 81 kW (110 PS) • Diesel
Volkswagen Golf 1.6 TDI BMT Comfortline Comfortline,Unfallfrei • EZ 02/2017 • 180.000 km • 81 kW (110 PS) • Diesel
BMW Baureihe 1 Lim. 5-trg. 116i M Sport,EZ 01/2016 • 167.000 km • 80 kW (109 PS) • Benzin
Volkswagen Golf VII Highline 122Ps Leder Navi LED PDC MFL T,EZ 06/2013 • 162.000 km • 90 kW (122 PS) • Benzin
BMW X1 sDrive18i Aut.,EZ 03/2014 • 160.128 km • 110 kW (150 PS) • Benzin
BMW 118i Lim. Advantage *Sport*LED*Navi*SHZ*PDC*,EZ 12/2016 • 170.000 km • 100 kW (136 PS) • Benzin
Volkswagen Golf 1.0 TSI 85kw | Comfort 5-türig | Airco-ECC,EZ 10/2018 • 187.730 km • 85 kW (116 PS) • Benzin
Volkswagen Golf VII Variant Join Start-Stopp,EZ 11/2018 • 180.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VI Match*Standheizung*1.Hand*,EZ 09/2012 • 153.000 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy 1.6 TDI Trendline / 7 Sitze / 2xSchiebetür,EZ 11/2013 • 161.700 km • 75 kW (102 PS) • Diesel
Volkswagen up! cross up! //NAVI// Sitzh.//Telefon,EZ 09/2014 • 151.720 km • 55 kW (75 PS) • Benzin
Audi A3 attraction,Unfallfrei • EZ 11/2015 • 158.000 km • 81 kW (110 PS) • Diesel
"BMW 114i -M-Paket,Xenon, 8xAlu, Klima, Bremsen neu",Unfallfrei • EZ 01/2015 • 162.000 km • 75 kW (102 PS) • Benzin
Opel Astra K Lim 2020Ed.*1Hd*LED*CarPlay*AHK*Temp*Shz,Unfallfrei • EZ 10/2020 • 150.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 05/2013 • 157.000 km • 90 kW (122 PS) • Benzin
BMW 118i Lim. 5-trg. TÜV 04/26*SHZ*8-fach bereift,EZ 01/2013 • 152.300 km • 125 kW (170 PS) • Benzin
Audi A3 Lim. 1.4 TFSI Ambition,Unfallfrei • EZ 09/2014 • 171.000 km • 90 kW (122 PS) • Benzin
BMW 216 Baureihe 2 Gran Tourer 216 d Advantage,Unfallfrei • EZ 06/2016 • 164.225 km • 85 kW (116 PS) • Diesel
Volkswagen Golf MATCH,Unfallfrei • EZ 05/2012 • 150.684 km • 63 kW (86 PS) • Benzin
Mercedes-Benz C 180 T Klima Navi Temp.PDC Autom.2Hd ServiceNeu,Unfallfrei • EZ 09/2013 • 157.000 km • 115 kW (156 PS) • Benzin
Mercedes-Benz C 180 T Klima Navi Temp.PDC Autom.2Hd ServiceNeu,Unfallfrei • EZ 09/2013 • 157.000 km • 115 kW (156 PS) • Benzin
Volkswagen Golf VII Lim. 2.0TDI BMT 4Motion AHK Parkassist,EZ 03/2013 • 158.000 km • 110 kW (150 PS) • Diesel
Volkswagen Golf VII Lim. /Navi/App/LED/Klima/Allwetterreife,Unfallfrei • EZ 08/2017 • 180.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf 7 1.4*2. HAND*PDC*SCHECKHEFT,EZ 04/2013 • 157.000 km • 90 kW (122 PS) • Benzin
Mercedes-Benz Citan 108 CDI Tourer lang CREW ISO+KLIMA+TELE+HU,Unfallfrei • EZ 08/2017 • 168.900 km • 55 kW (75 PS) • Diesel
Volkswagen Scirocco DSG Navi Alcantara SHZ PDC Scheckheft,Unfallfrei • EZ 11/2014 • 164.350 km • 132 kW (179 PS) • Benzin
Volkswagen Caddy Nfz Kasten EcoProfi BMT AHK,Reparierter Unfallschaden • EZ 01/2016 • 166.000 km • 55 kW (75 PS) • Diesel
Volkswagen Golf VI Cabriolet BMT,EZ 08/2015 • 179.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf Plus VI 1.2 TSI DSG Match - Teilleder* AHK*,EZ 02/2013 • 155.000 km • 77 kW (105 PS) • Benzin
Ford Focus Turnier 1.5 AT EcoBoost ST-Line Xen.|Navi,EZ 03/2018 • 155.210 km • 134 kW (182 PS) • Benzin
"Opel Astra K Sports Tourer R-Kamera, Navi, ab 89€ fin",Unfallfrei • EZ 12/2020 • 169.890 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VI 1.2 TSI Cabriolet /SHZ/PDC/Tempomat/TOP,Unfallfrei • EZ 04/2015 • 173.000 km • 77 kW (105 PS) • Benzin
"Volkswagen Golf VI Match 1,4-AC-el.GSSD-PDC-L&S Paket",EZ 11/2012 • 163.612 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Cup BMT *AUTOMATIK*,Unfallfrei • EZ 06/2014 • 173.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Sportsvan VII 1.2 TSI Lounge Navi PDC Tempo,EZ 02/2016 • 182.071 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII 1.2 BMT *KLIMAAUTO/PDC/AHK*,Unfallfrei • EZ 06/2013 • 168.200 km • 63 kW (86 PS) • Benzin
Volkswagen Polo V Lounge BMT/Start-Stopp,Unfallfrei • EZ 11/2015 • 164.964 km • 66 kW (90 PS) • Benzin
Volkswagen up 1.0 Basis,Unfallfrei • EZ 02/2020 • 168.000 km • 44 kW (60 PS) • Benzin
Volkswagen Golf VI+AUTOMATIK+KLIMA,Unfallfrei • EZ 07/2012 • 154.700 km • 77 kW (105 PS) • Benzin
BMW 218d Active Tourer NAVI*KLIMATRINIK*MTL*PDC*,EZ 04/2015 • 157.000 km • 110 kW (150 PS) • Diesel
Volkswagen CC R-Line/Navi/Klima/Xenon/Leder,EZ 01/2013 • 151.000 km • 118 kW (160 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116i,EZ 11/2013 • 153.345 km • 100 kW (136 PS) • Benzin
Mercedes-Benz A 180 BlueEfficiency * SHZ * NAVI * TÜV NEU,EZ 08/2013 • 154.000 km • 90 kW (122 PS) • Benzin
Mercedes-Benz B-Klasse B 200 Xenon Navi SHZ Tempomat,EZ 12/2012 • 162.156 km • 115 kW (156 PS) • Benzin
BMW 218 Baureihe 2 Active Tourer 218 i,Unfallfrei • EZ 02/2015 • 165.400 km • 100 kW (136 PS) • Benzin
Volkswagen Polo V Trendline-1.0-Klima-5 Türig-SHZ-Isofix,Unfallfrei • EZ 06/2014 • 150.000 km • 44 kW (60 PS) • Benzin
BMW 116 i*M-Sport*S.Dach*Bi-Xenon*Navi*ALcantara*,EZ 09/2014 • 165.000 km • 100 kW (136 PS) • Benzin
Audi A1 Sportback Klima Sitzheiz. BT-Tel. M+S,EZ 05/2016 • 164.989 km • 60 kW (82 PS) • Benzin
"Volkswagen Golf VII Variant Comfortline BMT // Scheckh.,",Unfallfrei • EZ 08/2015 • 172.674 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,Unfallfrei • EZ 11/2014 • 175.000 km • 110 kW (150 PS) • Benzin
Audi A3 Sportback attraction*NAVI*SHZ*ALU*TÜV 02.2026,Unfallfrei • EZ 06/2014 • 165.000 km • 81 kW (110 PS) • Diesel
Volkswagen Passat Variant 1.6 TDI DSG Comfortl AHK NAVI LED,Reparierter Unfallschaden • EZ 03/2016 • 166.000 km • 88 kW (120 PS) • Diesel
Volkswagen up! cup up! BMT eco CNG * Sitzh.* Navi * PDC *,Unfallfrei • EZ 05/2014 • 150.000 km • 50 kW (68 PS) • Benzin
"Volkswagen Touran Life""TOP ZUSTAND""AHK",Unfallfrei • EZ 03/2014 • 154.000 km • 77 kW (105 PS) • Diesel
Mercedes-Benz Citan Kombi 109 CDI lang*Klima*Servo PDC*TÜV*E 5,EZ 04/2015 • 159.000 km • 66 kW (90 PS) • Diesel
BMW 120d - 8-fach bereift auf Alufelgen,Unfallfrei • EZ 02/2014 • 155.000 km • 135 kW (184 PS) • Diesel
Volkswagen TOURAN LIFE NAVI APPLE CARPLAY SITZHEIZUNG PDC,EZ 09/2013 • 154.900 km • 77 kW (105 PS) • Benzin
Volkswagen Caddy Kasten Trendline BMT / NAVI / AHK / RFK,EZ 05/2017 • 179.924 km • 75 kW (102 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT,Unfallfrei • EZ 08/2013 • 162.200 km • 63 kW (86 PS) • Benzin
Volkswagen Eos 2.0 TDI NAVI/KLIMA/Panorama/Sitzheizung/,EZ 06/2013 • 150.472 km • 103 kW (140 PS) • Diesel
BMW 114 - KLIMA- PDC- SITZHEIZUNG- ALU !,EZ 10/2014 • 153.000 km • 75 kW (102 PS) • Benzin
Volkswagen Golf VII Variant Comfortline *NAVI*KLIMA*TEMPOMA,Unfallfrei • EZ 10/2016 • 190.147 km • 110 kW (150 PS) • Diesel
Mercedes-Benz Citan 5-Sitzer,Unfallfrei • EZ 07/2014 • 151.450 km • 66 kW (90 PS) • Diesel
BMW 118i 1 Lim.*LED*SHZ*TEMPO*19*ZOLL*SPORT*2.HAND,EZ 07/2015 • 165.000 km • 100 kW (136 PS) • Benzin
Skoda Octavia Combi 1.0 TSI Ambition Facelift AHK,Unfallfrei • EZ 06/2017 • 154.000 km • 85 kW (116 PS) • Benzin
Mercedes-Benz B 180 B -Klasse B 180*1.Hand!*Klimaautomatik,Unfallfrei • EZ 02/2012 • 155.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant 1.6 TDI BlueMotion *2.HD*SH*,EZ 09/2015 • 174.604 km • 81 kW (110 PS) • Diesel
BMW 218 Gran Tourer 218 i Advantage Wagen Nr.:003,Unfallfrei • EZ 02/2016 • 170.000 km • 100 kW (136 PS) • Benzin
BMW 118 Baureihe 1 Cabrio 118d,Unfallfrei • EZ 01/2013 • 156.411 km • 105 kW (143 PS) • Diesel
BMW 114i Lim Turbo+Steuerkette+ Service Neu,Unfallfrei • EZ 04/2014 • 160.000 km • 75 kW (102 PS) • Benzin
Volkswagen Golf VII Variant Allstar|SCHECKHEFT|NAVI|PDC|EU6,Unfallfrei • EZ 12/2016 • 180.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. 1.6 TDI Scheckheft Gepflegt,EZ 06/2013 • 160.000 km • 77 kW (105 PS) • Diesel
BMW 116d/AUTOMATIK/NAVI/TEMPOMAT/SITZHEIZUNG/PDC,EZ 02/2015 • 159.000 km • 85 kW (116 PS) • Diesel
